,date,home_team,home_score,away_score,away_team,neutral,knockout,stage
0,1973-08-25,Corinthians,0,0,América-GB,False,False,first
1,1973-08-25,CEUB,0,0,Botafogo,False,False,first
2,1973-08-25,Paysandu,2,1,Internacional,False,False,first
3,1973-08-25,Tiradentes,0,0,Fluminense,False,False,first
4,1973-08-25,Figueirense,0,0,Coritiba,False,False,first
5,1973-08-25,CRB,0,1,América-MG,False,False,first
6,1973-08-25,Bahia,1,1,São Paulo,False,False,first
7,1973-08-25,Moto Clube,0,3,Cruzeiro,False,False,first
8,1973-08-25,Sport,0,0,Fortaleza,False,False,first
9,1973-08-25,Grêmio,4,0,Santa Cruz,False,False,first
10,1973-08-25,Desportiva,2,0,Sergipe,False,False,first
11,1973-08-25,Goiás,0,0,Olaria,False,False,first
12,1973-08-25,Comercial,0,1,Flamengo,False,False,first
13,1973-08-25,Ceará,2,2,Náutico,False,False,first
14,1973-08-25,Atlético-PR,0,0,Vitória,False,False,first
15,1973-08-25,América-RN,0,0,Rio Negro,False,False,first
16,1973-08-25,Remo,0,2,Palmeiras,False,False,first
17,1973-08-26,Nacional,1,1,Guarani,False,False,first
18,1973-08-29,Moto Clube,1,4,Fluminense,False,False,first
19,1973-08-29,Figueirense,2,2,Botafogo,False,False,first
20,1973-08-29,Guarani,0,1,Corinthians,False,False,first
21,1973-08-29,CRB,0,1,São Paulo,False,False,first
22,1973-08-29,Tiradentes,1,1,Cruzeiro,False,False,first
23,1973-08-29,América-MG,4,1,Sport,False,False,first
24,1973-08-29,Fortaleza,1,1,Bahia,False,False,first
25,1973-08-29,Coritiba,2,1,CEUB,False,False,first
26,1973-08-29,Sergipe,0,3,Vasco da Gama,False,False,first
27,1973-08-29,Goiás,1,0,Flamengo,False,False,first
28,1973-08-29,Comercial,2,1,Olaria,False,False,first
29,1973-08-29,Rio Negro,1,2,Palmeiras,False,False,first
30,1973-08-29,Vitória,2,0,Santos,False,False,first
31,1973-08-29,Remo,1,0,Portuguesa,False,False,first
32,1973-08-29,Desportiva,2,0,Atlético-MG,False,False,first
33,1973-08-29,América-RN,1,1,Grêmio,False,False,first
34,1973-08-29,Santa Cruz,1,1,Ceará,False,False,first
35,1973-08-30,Nacional,0,0,Internacional,False,False,first
36,1973-08-30,Paysandu,0,0,América-GB,False,False,first
37,1973-08-30,Náutico,1,0,Atlético-PR,False,False,first
38,1973-08-31,Sport,0,3,São Paulo,False,False,first
39,1973-08-31,América-MG,1,0,Fortaleza,False,False,first
40,1973-08-31,CEUB,2,1,Figueirense,False,False,first
41,1973-08-31,Botafogo,4,0,Fluminense,False,False,first
42,1973-08-31,Nacional,1,1,América-GB,False,False,first
43,1973-08-31,Coritiba,3,0,Corinthians,False,False,first
44,1973-08-31,Paysandu,0,2,Guarani,False,False,first
45,1973-08-31,Rio Negro,1,3,Portuguesa,False,False,first
46,1973-09-02,Internacional,0,1,Cruzeiro,False,False,first
47,1973-09-02,CRB,0,1,Bahia,False,False,first
48,1973-09-02,Moto Clube,0,1,Tiradentes,False,False,first
49,1973-09-02,Vitória,0,0,Vasco da Gama,False,False,first
50,1973-09-02,Santa Cruz,3,1,Flamengo,False,False,first
51,1973-09-02,Santos,0,0,Palmeiras,False,False,first
52,1973-09-02,Atlético-MG,0,0,Grêmio,False,False,first
53,1973-09-02,Desportiva,0,1,Remo,False,False,first
54,1973-09-02,Ceará,0,1,Atlético-PR,False,False,first
55,1973-09-02,América-RN,2,0,Sergipe,False,False,first
56,1973-09-02,Goiás,2,0,Comercial,False,False,first
57,1973-09-05,Bahia,0,1,Fluminense,False,False,first
58,1973-09-05,Moto Clube,0,2,Botafogo,False,False,first
59,1973-09-05,Figueirense,1,1,Corinthians,False,False,first
60,1973-09-05,Guarani,1,1,São Paulo,False,False,first
61,1973-09-05,CEUB,2,0,Cruzeiro,False,False,first
62,1973-09-05,Sport,0,1,Internacional,False,False,first
63,1973-09-05,Tiradentes,2,0,Paysandu,False,False,first
64,1973-09-05,CRB,1,1,Nacional,False,False,first
65,1973-09-05,Fortaleza,3,2,Coritiba,False,False,first
66,1973-09-05,Desportiva,0,1,Vasco da Gama,False,False,first
67,1973-09-05,Olaria,0,1,Flamengo,False,False,first
68,1973-09-05,Atlético-PR,1,1,Palmeiras,False,False,first
69,1973-09-05,Santos,0,0,Grêmio,False,False,first
70,1973-09-05,Comercial,1,1,Atlético-MG,False,False,first
71,1973-09-05,Rio Negro,1,0,Santa Cruz,False,False,first
72,1973-09-05,Remo,1,0,Náutico,False,False,first
73,1973-09-05,América-RN,2,0,Ceará,False,False,first
74,1973-09-05,Goiás,3,0,Sergipe,False,False,first
75,1973-09-06,América-GB,1,0,América-MG,False,False,first
76,1973-09-08,Nacional,0,1,Coritiba,False,False,first
77,1973-09-08,Vasco da Gama,1,1,Ceará,False,False,first
78,1973-09-08,Portuguesa,4,2,Olaria,False,False,first
79,1973-09-09,CRB,1,2,Fluminense,False,False,first
80,1973-09-09,Tiradentes,0,0,Botafogo,False,False,first
81,1973-09-09,Moto Clube,1,1,América-GB,False,False,first
82,1973-09-09,Corinthians,1,0,São Paulo,False,False,first
83,1973-09-09,Guarani,3,1,CEUB,False,False,first
84,1973-09-09,Cruzeiro,1,0,América-MG,False,False,first
85,1973-09-09,Bahia,1,2,Internacional,False,False,first
86,1973-09-09,Paysandu,2,2,Sport,False,False,first
87,1973-09-09,Fortaleza,2,0,Figueirense,False,False,first
88,1973-09-09,Flamengo,0,1,Santos,False,False,first
89,1973-09-09,Grêmio,0,0,Palmeiras,False,False,first
90,1973-09-09,Atlético-PR,0,1,Atlético-MG,False,False,first
91,1973-09-09,Náutico,0,0,Santa Cruz,False,False,first
92,1973-09-09,Sergipe,1,0,Remo,False,False,first
93,1973-09-09,Rio Negro,0,0,Vitória,False,False,first
94,1973-09-09,Goiás,0,0,América-RN,False,False,first
95,1973-09-09,Comercial,0,0,Desportiva,False,False,first
96,1973-09-12,Fluminense,3,0,Guarani,False,False,first
97,1973-09-12,Fortaleza,0,2,Botafogo,False,False,first
98,1973-09-12,Tiradentes,0,0,América-GB,False,False,first
99,1973-09-12,Moto Clube,0,0,Corinthians,False,False,first
100,1973-09-12,São Paulo,1,0,América-MG,False,False,first
101,1973-09-12,Figueirense,0,1,Cruzeiro,False,False,first
102,1973-09-12,CRB,0,1,Internacional,False,False,first
103,1973-09-12,Sport,1,2,Nacional,False,False,first
104,1973-09-12,Paysandu,0,1,Coritiba,False,False,first
105,1973-09-12,CEUB,0,0,Bahia,False,False,first
106,1973-09-12,América-RN,1,1,Vasco da Gama,False,False,first
107,1973-09-12,Sergipe,0,1,Flamengo,False,False,first
108,1973-09-12,Vitória,0,0,Olaria,False,False,first
109,1973-09-12,Comercial,1,0,Santos,False,False,first
110,1973-09-12,Goiás,0,0,Portuguesa,False,False,first
111,1973-09-12,Rio Negro,1,2,Atlético-MG,False,False,first
112,1973-09-12,Desportiva,1,0,Náutico,False,False,first
113,1973-09-12,Ceará,0,2,Palmeiras,False,False,first
114,1973-09-12,Santa Cruz,2,1,Remo,False,False,first
115,1973-09-15,Cruzeiro,1,0,Bahia,False,False,first
116,1973-09-15,Coritiba,3,0,Sport,False,False,first
117,1973-09-15,CEUB,1,2,CRB,False,False,first
118,1973-09-15,Grêmio,2,0,Olaria,False,False,first
119,1973-09-16,Fluminense,2,0,América-GB,False,False,first
