date,home_team,home_score,away_score,away_team,neutral,knockout,stage
1999-07-24,Palmeiras,3,1,Juventude,False,False,first
1999-07-25,Botafogo-SP,4,2,Portuguesa-SP,False,False,first
1999-07-25,Paraná,0,2,Santos,False,False,first
1999-07-25,Guarani,2,1,Internacional,False,False,first
1999-07-25,Grêmio,2,1,Atlético-PR,False,False,first
1999-07-25,Coritiba,2,0,Vitória,False,False,first
1999-07-25,Sport,0,0,Vasco da Gama,False,False,first
1999-07-25,Flamengo,1,0,Ponte Preta-SP,False,False,first
1999-07-25,São Paulo,5,1,Atlético-MG,False,False,first
1999-07-25,Gama,2,4,Corinthians,False,False,first
1999-07-28,Cruzeiro,4,1,Botafogo,False,False,first
1999-07-28,Santos,3,2,São Paulo,False,False,first
1999-07-31,Vitória,2,1,Palmeiras,False,False,first
1999-07-31,Atlético-PR,3,2,Flamengo,False,False,first
1999-07-31,Juventude,0,0,Cruzeiro,False,False,first
1999-07-31,Ponte Preta-SP,2,0,Grêmio,False,False,first
1999-07-31,Atlético-MG,2,0,Gama,False,False,first
1999-08-01,Botafogo,0,0,Sport,False,False,first
1999-08-01,Corinthians,4,1,Botafogo-SP,False,False,first
1999-08-01,Portuguesa-SP,1,0,Guarani,False,False,first
1999-08-01,Internacional,0,2,Coritiba,False,False,first
1999-08-04,São Paulo,6,1,Botafogo,False,False,first
1999-08-04,Guarani,0,2,Corinthians,False,False,first
1999-08-07,Ponte Preta-SP,1,1,Botafogo,False,False,first
1999-08-07,Santos,0,0,Vitória,False,False,first
1999-08-07,Coritiba,1,1,Botafogo-SP,False,False,first
1999-08-08,Flamengo,0,1,Paraná,False,False,first
1999-08-08,Gama,0,1,Guarani,False,False,first
1999-08-08,Sport,1,1,Atlético-MG,False,False,first
1999-08-08,Palmeiras,2,2,Atlético-PR,False,False,first
1999-08-08,Cruzeiro,3,1,Internacional,False,False,first
1999-09-05,Grêmio,0,4,São Paulo,False,False,first
1999-08-11,Atlético-MG,2,0,Palmeiras,False,False,first
1999-08-11,Internacional,1,2,Flamengo,False,False,first
1999-08-14,Atlético-PR,3,0,Santos,False,False,first
1999-08-14,Vitória,0,2,Grêmio,False,False,first
1999-08-15,Vasco da Gama,2,1,Botafogo,False,False,first
1999-08-15,Botafogo-SP,1,3,Gama,False,False,first
1999-08-15,Paraná,1,0,Sport,False,False,first
1999-08-15,Portuguesa-SP,2,1,São Paulo,False,False,first
1999-08-15,Guarani,1,0,Juventude,False,False,first
1999-08-15,Coritiba,2,2,Cruzeiro,False,False,first
1999-08-18,Cruzeiro,2,1,São Paulo,False,False,first
1999-08-18,Grêmio,0,0,Vasco da Gama,False,False,first
1999-08-18,Flamengo,2,1,Coritiba,False,False,first
1999-08-18,Botafogo,1,5,Atlético-MG,False,False,first
1999-08-18,Gama,0,0,Santos,False,False,first
1999-08-18,Corinthians,5,1,Vitória,False,False,first
1999-08-18,Sport,1,0,Portuguesa-SP,False,False,first
1999-08-18,Botafogo-SP,1,1,Palmeiras,False,False,first
1999-08-18,Ponte Preta-SP,0,0,Guarani,False,False,first
1999-08-18,Paraná,2,2,Juventude,False,False,first
1999-08-21,Botafogo,2,4,Corinthians,False,False,first
1999-08-21,Sport,0,1,Flamengo,False,False,first
1999-08-21,Juventude,1,1,Grêmio,False,False,first
1999-08-22,Vasco da Gama,3,1,Vitória,False,False,first
1999-08-22,Palmeiras,0,2,Gama,False,False,first
1999-08-22,São Paulo,1,0,Botafogo-SP,False,False,first
1999-08-22,Coritiba,0,0,Portuguesa-SP,False,False,first
1999-08-22,Santos,1,2,Guarani,False,False,first
1999-08-22,Ponte Preta-SP,1,0,Paraná,False,False,first
1999-08-22,Cruzeiro,3,1,Atlético-PR,False,False,first
1999-08-22,Internacional,1,0,Atlético-MG,False,False,first
1999-08-25,Juventude,1,3,Corinthians,False,False,first
1999-08-25,Vitória,2,0,Botafogo,False,False,first
1999-08-25,Botafogo-SP,0,1,Ponte Preta-SP,False,False,first
1999-08-25,Atlético-PR,1,2,Internacional,False,False,first
1999-08-28,Ponte Preta-SP,1,2,Palmeiras,False,False,first
1999-08-28,Santos,1,1,Vasco da Gama,False,False,first
1999-08-28,Atlético-MG,4,1,Coritiba,False,False,first
1999-08-28,Gama,2,3,Cruzeiro,False,False,first
1999-08-29,Flamengo,3,4,Grêmio,False,False,first
1999-08-29,Botafogo-SP,1,1,Sport,False,False,first
1999-08-29,Corinthians,1,0,São Paulo,False,False,first
1999-08-29,Portuguesa-SP,2,0,Atlético-PR,False,False,first
1999-08-29,Paraná,2,1,Guarani,False,False,first
1999-08-29,Internacional,0,0,Juventude,False,False,first
1999-09-01,Grêmio,3,4,Botafogo-SP,False,False,first
1999-09-01,Guarani,2,3,São Paulo,False,False,first
1999-09-01,Corinthians,1,2,Flamengo,False,False,first
1999-09-02,Atlético-PR,1,0,Gama,False,False,first
1999-09-04,Sport,1,0,Santos,False,False,first
1999-09-04,Botafogo-SP,1,4,Flamengo,False,False,first
1999-09-04,Botafogo,2,3,Internacional,False,False,first
1999-09-05,Vasco da Gama,1,0,Atlético-MG,False,False,first
1999-09-05,Portuguesa-SP,1,3,Vitória,False,False,first
1999-09-05,Palmeiras,2,2,Cruzeiro,False,False,first
1999-09-05,Juventude,1,2,Ponte Preta-SP,False,False,first
1999-09-05,Paraná,1,1,Coritiba,False,False,first
1999-09-08,Cruzeiro,1,3,Corinthians,False,False,first
1999-09-08,Botafogo-SP,1,4,Atlético-MG,False,False,first
1999-09-08,Vitória,1,0,Gama,False,False,first
1999-09-08,Internacional,1,0,Portuguesa-SP,False,False,first
1999-09-11,Santos,2,0,Botafogo-SP,False,False,first
1999-09-11,Gama,1,1,Flamengo,False,False,first
1999-09-11,São Paulo,2,1,Coritiba,False,False,first
1999-09-11,Vasco da Gama,3,1,Ponte Preta-SP,False,False,first
1999-09-12,Botafogo,0,1,Atlético-PR,False,False,first
1999-09-12,Juventude,2,1,Vitória,False,False,first
1999-09-12,Sport,3,2,Guarani,False,False,first
1999-09-12,Corinthians,1,4,Palmeiras,False,False,first
1999-09-12,Grêmio,1,0,Internacional,False,False,first
1999-09-15,Flamengo,1,0,São Paulo,False,False,first
1999-09-15,Guarani,1,0,Vasco da Gama,False,False,first
1999-09-15,Atlético-MG,1,2,Vitória,False,False,first
1999-09-15,Juventude,1,1,Botafogo-SP,False,False,first
1999-09-15,Palmeiras,1,0,Sport,False,False,first
1999-09-15,Portuguesa-SP,1,2,Santos,False,False,first
1999-09-15,Atlético-PR,1,1,Paraná,False,False,first
1999-09-16,Ponte Preta-SP,2,0,Coritiba,False,False,first
1999-09-22,Gama,2,1,Grêmio,False,False,first
1999-08-18,Santos,0,1,Botafogo,False,False,first
1999-08-18,Portuguesa-SP,1,1,Grêmio,False,False,first
1999-08-18,Atlético-PR,2,2,Atlético-MG,False,False,first
1999-08-19,São Paulo,2,0,Juventude,False,False,first
1999-08-19,Coritiba,0,3,Guarani,False,False,first
1999-08-19,Internacional,0,1,Gama,False,False,first
1999-08-19,Vitória,0,0,Ponte Preta-SP,False,False,first
1999-08-19,Cruzeiro,1,0,Sport,False,False,first
1999-09-22,Paraná,0,1,Palmeiras,False,False,first
1999-09-22,Corinthians,2,4,Vasco da Gama,False,False,first
1999-09-22,Botafogo,0,1,Juventude,False,False,first
1999-09-25,Sport,0,0,Corinthians,False,False,first
1999-09-25,Coritiba,3,2,Botafogo,False,False,first
1999-09-25,São Paulo,1,2,Gama,False,False,first
1999-09-25,Ponte Preta-SP,2,2,Cruzeiro,False,False,first
1999-09-26,Flamengo,5,2,Vitória,False,False,first
1999-09-26,Vasco da Gama,2,0,Internacional,False,False,first
1999-09-26,Palmeiras,1,1,Santos,False,False,first
1999-09-26,Atlético-MG,2,2,Portuguesa-SP,False,False,first
1999-09-26,Botafogo-SP,2,0,Paraná,False,False,first
1999-09-26,Grêmio,2,3,Guarani,False,False,first
1999-09-26,Juventude,1,3,Atlético-PR,False,False,first
1999-09-29,Vasco da Gama,1,2,São Paulo,False,False,first
1999-09-29,Atlético-MG,3,0,Flamengo,False,False,first
1999-09-29,Gama,0,0,Juventude,False,False,first
1999-09-29,Vitória,4,1,Cruzeiro,False,False,first
1999-09-29,Sport,0,0,Internacional,False,False,first
1999-09-29,Palmeiras,3,2,Portuguesa-SP,False,False,first
1999-09-29,Santos,1,1,Coritiba,False,False,first
1999-09-29,Atlético-PR,1,0,Ponte Preta-SP,False,False,first
1999-09-29,Grêmio,1,1,Paraná,False,False,first
1999-09-30,Botafogo,1,0,Botafogo-SP,False,False,first
1999-10-02,Internacional,1,2,Santos,False,False,first
1999-10-02,Guarani,1,2,Atlético-PR,False,False,first
1999-10-02,Portuguesa-SP,0,1,Corinthians,False,False,first
1999-10-03,Flamengo,0,1,Vasco da Gama,False,False,first
1999-10-03,Ponte Preta-SP,2,0,Sport,False,False,first
1999-10-03,São Paulo,0,0,Palmeiras,False,False,first
1999-10-03,Coritiba,4,0,Grêmio,False,False,first
1999-10-03,Cruzeiro,3,0,Atlético-MG,False,False,first
1999-10-06,Juventude,0,5,Portuguesa-SP,False,False,first
1999-10-06,Paraná,2,3,Botafogo,False,False,first
1999-10-06,Atlético-MG,2,0,Santos,False,False,first
1999-10-09,Ponte Preta-SP,2,0,Santos,False,False,first
1999-10-09,Coritiba,3,1,Vasco da Gama,False,False,first
1999-10-09,Corinthians,1,0,Paraná,False,False,first
1999-10-10,Gama,3,2,Sport,False,False,first
1999-10-10,Vitória,3,2,Atlético-PR,False,False,first
1999-10-10,São Paulo,2,2,Internacional,False,False,first
1999-10-10,Portuguesa-SP,1,1,Cruzeiro,False,False,first
1999-10-10,Atlético-MG,2,0,Juventude,False,False,first
1999-10-10,Guarani,1,1,Botafogo-SP,False,False,first
1999-10-10,Botafogo,2,1,Flamengo,False,False,first
1999-10-13,Santos,1,4,Corinthians,False,False,first
1999-10-13,Vasco da Gama,5,2,Gama,False,False,first
1999-10-13,Sport,1,1,Coritiba,False,False,first
1999-10-13,Palmeiras,6,0,Grêmio,False,False,first
1999-10-13,Cruzeiro,1,3,Guarani,False,False,first
1999-10-14,Internacional,1,1,Vitória,False,False,first
1999-10-14,Atlético-PR,4,1,São Paulo,False,False,first
1999-10-27,Paraná,4,1,Atlético-MG,False,False,first
1999-10-16,Vasco da Gama,2,1,Palmeiras,False,False,first
1999-10-16,Guarani,3,0,Flamengo,False,False,first
1999-10-16,Paraná,1,0,Gama,False,False,first
1999-10-16,Botafogo,1,0,Portuguesa-SP,False,False,first
1999-10-17,Coritiba,2,1,Atlético-PR,False,False,first
1999-10-17,Santos,3,0,Juventude,False,False,first
1999-10-17,São Paulo,4,1,Sport,False,False,first
1999-10-17,Vitória,3,2,Botafogo-SP,False,False,first
1999-10-17,Atlético-MG,1,2,Ponte Preta-SP,False,False,first
1999-10-17,Corinthians,4,2,Internacional,False,False,first
1999-10-17,Grêmio,2,3,Cruzeiro,False,False,first
1999-10-20,Grêmio,1,0,Botafogo,False,False,first
1999-10-20,Portuguesa-SP,1,1,Vasco da Gama,False,False,first
1999-10-20,Flamengo,1,1,Palmeiras,False,False,first
1999-10-23,Atlético-PR,2,2,Corinthians,False,False,first
1999-10-23,Juventude,2,1,Vasco da Gama,False,False,first
1999-10-23,Grêmio,2,1,Sport,False,False,first
1999-10-23,Botafogo-SP,2,1,Internacional,False,False,first
1999-10-24,Flamengo,0,2,Cruzeiro,False,False,first
1999-10-24,Gama,1,1,Coritiba,False,False,first
1999-10-24,Vitória,2,0,Paraná,False,False,first
1999-10-24,Ponte Preta-SP,2,1,Portuguesa-SP,False,False,first
1999-11-03,Palmeiras,0,0,Guarani,False,False,first
1999-10-27,Coritiba,2,1,Palmeiras,False,False,first
1999-10-27,Portuguesa-SP,2,3,Flamengo,False,False,first
1999-10-30,Paraná,1,2,São Paulo,False,False,first
1999-10-30,Botafogo,3,1,Gama,False,False,first
1999-10-30,Santos,2,1,Grêmio,False,False,first
1999-10-31,Vasco da Gama,2,1,Atlético-PR,False,False,first
1999-10-31,Guarani,1,2,Vitória,False,False,first
1999-10-31,Sport,0,1,Juventude,False,False,first
1999-10-31,Corinthians,0,4,Atlético-MG,False,False,first
1999-10-31,Cruzeiro,2,1,Botafogo-SP,False,False,first
1999-10-31,Internacional,1,0,Ponte Preta-SP,False,False,first
1999-11-03,Grêmio,0,3,Corinthians,False,False,first
1999-11-03,Cruzeiro,2,1,Vasco da Gama,False,False,first
1999-11-07,Corinthians,1,2,Ponte Preta-SP,False,False,first
1999-11-03,São Paulo,1,0,Ponte Preta-SP,False,False,first
1999-11-04,Paraná,1,0,Internacional,False,False,first
1999-11-06,Botafogo-SP,2,1,Atlético-PR,False,False,first
1999-11-06,Guarani,4,0,Atlético-MG,False,False,first
1999-11-06,Palmeiras,6,0,Botafogo,False,False,first
1999-11-07,Flamengo,0,1,Santos,False,False,first
1999-11-07,Cruzeiro,5,2,Paraná,False,False,first
1999-11-07,Gama,2,1,Portuguesa-SP,False,False,first
1999-11-07,Sport,1,1,Vitória,False,False,first
1999-11-07,Coritiba,1,1,Juventude,False,False,first
1999-11-10,Juventude,3,1,Flamengo,False,False,first
1999-11-10,Botafogo,1,0,Guarani,False,False,first
1999-11-10,Vasco da Gama,1,1,Botafogo-SP,False,False,first
1999-11-10,Ponte Preta-SP,0,0,Gama,False,False,first
1999-11-10,Internacional,1,0,Palmeiras,False,False,first
1999-11-10,Corinthians,3,2,Coritiba,False,False,first
1999-11-10,Vitória,0,3,São Paulo,False,False,first
1999-11-10,Portuguesa-SP,2,2,Paraná,False,False,first
1999-11-10,Santos,3,3,Cruzeiro,False,False,first
1999-11-10,Atlético-PR,3,1,Sport,False,False,first
1999-11-10,Atlético-MG,2,0,Grêmio,False,False,first
1999-11-14,Guarani,0,0,Corinthians,False,False,quarter
1999-11-14,Atlético-MG,4,2,Cruzeiro,False,False,quarter
1999-11-14,Vitória,5,4,Vasco da Gama,False,False,quarter
1999-11-14,São Paulo,3,2,Ponte Preta-SP,False,False,quarter
1999-11-21,Corinthians,2,0,Guarani,False,False,quarter
1999-11-21,Cruzeiro,2,3,Atlético-MG,False,False,quarter
1999-11-21,Vasco da Gama,2,2,Vitória,False,False,quarter
1999-11-21,Ponte Preta-SP,2,1,São Paulo,False,False,quarter
1999-11-24,Corinthians,1,1,Guarani,False,False,quarter
1999-11-24,Vasco da Gama,1,1,Vitória,False,False,quarter
1999-11-24,Ponte Preta-SP,2,3,São Paulo,False,False,quarter
1999-11-28,São Paulo,2,3,Corinthians,False,False,semi
1999-11-28,Atlético-MG,3,0,Vitória,False,False,semi
1999-12-05,Corinthians,2,1,São Paulo,False,False,semi
1999-12-05,Vitória,2,1,Atlético-MG,False,False,semi
1999-12-08,Vitória,0,3,Atlético-MG,False,False,semi
1999-12-12,Atlético-MG,3,2,Corinthians,False,False,final
1999-12-19,Corinthians,2,0,Atlético-MG,False,False,final
1999-12-22,Corinthians,0,0,Atlético-MG,False,False,final
