date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1995-02-14,Sergipe-SE,1,1,São Paulo,False,False,first,brasileirao-serie-a,1995
1995-02-15,Juventude,5,0,Figueirense-SC,False,False,first,brasileirao-serie-a,1995
1995-02-17,Democrata-MG,2,0,Goiás,False,False,first,brasileirao-serie-a,1995
1995-03-07,Sousa-PB,0,1,Flamengo-RJ,False,False,first,brasileirao-serie-a,1995
1995-02-22,Figueirense-SC,0,3,Juventude,False,False,first,brasileirao-serie-a,1995
1995-03-03,Goiás,1,0,Democrata-MG,False,False,first,brasileirao-serie-a,1995
1995-03-10,São Paulo,3,0,Sergipe-SE,False,False,first,brasileirao-serie-a,1995
1995-03-17,Flamengo-RJ,1,0,Souza-PB,False,False,first,brasileirao-serie-a,1995
1995-02-14,Desportiva,0,1,Grêmio,False,False,first,brasileirao-serie-a,1995
1995-02-14,Maranhão,0,0,Kaburé,False,False,first,brasileirao-serie-a,1995
1995-02-17,ABC,1,2,Palmeiras,False,False,first,brasileirao-serie-a,1995
1995-03-03,Operário-MT,1,1,Corinthians,False,False,first,brasileirao-serie-a,1995
1995-03-03,CSA,1,2,Cruzeiro,False,False,first,brasileirao-serie-a,1995
1995-03-10,Democrata-MG,3,2,Vitória,False,False,first,brasileirao-serie-a,1995
1995-03-10,Remo,1,1,Ferroviário-CE,False,False,first,brasileirao-serie-a,1995
1995-03-10,Flamengo-PI,1,2,Vasco da Gama,False,False,first,brasileirao-serie-a,1995
1995-03-12,Cristal,1,1,Nacional-AM,False,False,first,brasileirao-serie-a,1995
1995-03-14,Volta Redonda,0,0,Bahia,False,False,first,brasileirao-serie-a,1995
1995-03-14,Náutico-PE,1,4,São Paulo,False,False,first,brasileirao-serie-a,1995
1995-03-16,Paraná-PR,1,0,Juventude,False,False,first,brasileirao-serie-a,1995
1995-03-17,Atlético-MG,1,0,Sport,False,False,first,brasileirao-serie-a,1995
1995-03-19,Rio Branco-AC,2,0,Palmares-RO,False,False,first,brasileirao-serie-a,1995
1995-03-21,Pontaporanense-MS,0,2,Internacional,False,False,first,brasileirao-serie-a,1995
1995-04-05,Gama,1,2,Flamengo-RJ,False,False,first,brasileirao-serie-a,1995
1995-03-14,Kaburé,2,0,Maranhão,False,False,first,brasileirao-serie-a,1995
1995-03-17,Ferroviário-CE,1,3,Remo,False,False,first,brasileirao-serie-a,1995
1995-03-19,Nacional-AM,1,0,Cristal,False,False,first,brasileirao-serie-a,1995
1995-03-22,Juventude,0,1,Paraná-PR,False,False,first,brasileirao-serie-a,1995
1995-03-24,Internacional,5,0,Pontaporanense-MS,False,False,first,brasileirao-serie-a,1995
1995-03-24,Cruzeiro,4,0,CSA,False,False,first,brasileirao-serie-a,1995
1995-03-24,Bahia,0,0,Volta Redonda,False,False,first,brasileirao-serie-a,1995
1995-03-24,Palmeiras,1,0,ABC,False,False,first,brasileirao-serie-a,1995
1995-03-28,Corinthians,4,0,Operário-MT,False,False,first,brasileirao-serie-a,1995
1995-03-28,Palmares-RO,2,2,Rio Branco-AC,False,False,first,brasileirao-serie-a,1995
1995-03-28,Vitória,2,0,Democrata-MG,False,False,first,brasileirao-serie-a,1995
1995-03-28,Sport,2,2,Atlético-MG,False,False,first,brasileirao-serie-a,1995
1995-03-28,Grêmio,2,1,Desportiva,False,False,first,brasileirao-serie-a,1995
1995-03-30,Vasco da Gama,4,1,Flamengo-PI,False,False,first,brasileirao-serie-a,1995
1995-04-12,Flamengo-RJ,3,0,Gama,False,False,first,brasileirao-serie-a,1995
1995-04-04,Vitória,2,3,Atlético-MG,False,False,round16,brasileirao-serie-a,1995
1995-04-07,São Paulo,3,0,Remo,False,False,round16,brasileirao-serie-a,1995
1995-04-11,Rio Branco-AC,0,3,Corinthians,False,False,round16,brasileirao-serie-a,1995
1995-04-11,Grêmio,1,1,Palmeiras,False,False,round16,brasileirao-serie-a,1995
1995-04-12,Paraná-PR,1,1,Internacional,False,False,round16,brasileirao-serie-a,1995
1995-04-15,Nacional-AM,0,2,Vasco da Gama,False,False,round16,brasileirao-serie-a,1995
1995-04-19,Kaburé,0,1,Flamengo-RJ,False,False,round16,brasileirao-serie-a,1995
1995-04-21,Cruzeiro,1,0,Bahia,False,False,round16,brasileirao-serie-a,1995
1995-04-18,Palmeiras,2,2,Grêmio,False,False,round16,brasileirao-serie-a,1995
1995-04-18,Remo,1,1,São Paulo,False,False,round16,brasileirao-serie-a,1995
