date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1978-06-25,Barbados,0,0,Curaçao,False,False,,CFU Caribbean Cup qualification,1978
1978-07-02,Guadeloupe,1,0,Jamaica,False,False,,CFU Caribbean Cup qualification,1978
1978-07-09,Guyana,0,2,Suriname,False,False,,CFU Caribbean Cup qualification,1978
1978-07-29,Curaçao,1,0,Barbados,True,False,,CFU Caribbean Cup qualification,1978
1978-07-30,Jamaica,1,2,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1978
1978-07-30,Suriname,2,1,Guyana,False,False,,CFU Caribbean Cup qualification,1978
1978-08-20,Puerto Rico,1,1,Haiti,False,False,,CFU Caribbean Cup qualification,1978
1978-08-20,Trinidad and Tobago,2,4,French Guiana,False,False,,CFU Caribbean Cup qualification,1978
1978-08-26,Haiti,1,0,Puerto Rico,False,False,,CFU Caribbean Cup qualification,1978
1978-09-02,French Guiana,1,4,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1978
1978-09-16,Haiti,0,0,Martinique,False,False,,CFU Caribbean Cup qualification,1978
1978-09-30,Curaçao,0,2,Suriname,True,False,,CFU Caribbean Cup qualification,1978
1978-10-01,Martinique,0,0,Haiti,False,False,,CFU Caribbean Cup qualification,1978
1978-10-13,Suriname,3,0,Curaçao,False,False,,CFU Caribbean Cup qualification,1978
1979-05-05,Saint Vincent and the Grenadines,2,2,Martinique,False,False,,CFU Caribbean Cup qualification,1979
1979-06-03,Jamaica,2,1,Saint Kitts and Nevis,False,False,,CFU Caribbean Cup qualification,1979
1979-06-09,Martinique,0,1,Saint Vincent and the Grenadines,False,False,,CFU Caribbean Cup qualification,1979
1979-06-17,Saint Kitts and Nevis,1,2,Jamaica,False,False,,CFU Caribbean Cup qualification,1979
1979-07-22,Grenada,0,1,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1979
1979-08-04,Trinidad and Tobago,2,1,Grenada,False,False,,CFU Caribbean Cup qualification,1979
1979-09-29,Haiti,1,0,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1979
1979-10-15,Antigua and Barbuda,1,2,Haiti,False,False,,CFU Caribbean Cup qualification,1979
1979-10-22,Guadeloupe,1,3,Saint Vincent and the Grenadines,False,False,,CFU Caribbean Cup qualification,1979
1979-10-22,Saint Vincent and the Grenadines,0,0,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1979
1979-10-28,Haiti,3,0,Jamaica,False,False,,CFU Caribbean Cup qualification,1979
1979-11-02,Jamaica,0,4,Haiti,False,False,,CFU Caribbean Cup qualification,1979
1981-06-07,Suriname,3,1,French Guiana,False,False,,CFU Caribbean Cup qualification,1981
1981-06-21,French Guiana,3,1,Suriname,False,False,,CFU Caribbean Cup qualification,1981
1981-06-21,Guadeloupe,5,0,Dominica,False,False,,CFU Caribbean Cup qualification,1981
1981-07-05,Barbados,1,1,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1981
1981-07-05,Dominica,2,3,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1981
1981-07-05,Saint Vincent and the Grenadines,2,1,Martinique,False,False,,CFU Caribbean Cup qualification,1981
1981-07-17,Trinidad and Tobago,1,1,Barbados,False,False,,CFU Caribbean Cup qualification,1981
1981-07-19,Martinique,1,2,Saint Vincent and the Grenadines,False,False,,CFU Caribbean Cup qualification,1981
1981-07-19,Suriname,1,0,French Guiana,False,False,,CFU Caribbean Cup qualification,1981
1981-08-02,Guadeloupe,3,0,Saint Vincent and the Grenadines,False,False,,CFU Caribbean Cup qualification,1981
1981-08-02,Suriname,1,1,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1981
1981-08-14,Trinidad and Tobago,3,2,Suriname,False,False,,CFU Caribbean Cup qualification,1981
1981-08-16,Saint Vincent and the Grenadines,3,1,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1981
1981-09-13,Saint Vincent and the Grenadines,2,1,Suriname,False,False,,CFU Caribbean Cup qualification,1981
1981-09-27,Suriname,3,3,Saint Vincent and the Grenadines,False,False,,CFU Caribbean Cup qualification,1981
1983-02-20,Guadeloupe,1,0,Dominica,False,False,,CFU Caribbean Cup qualification,1983
1983-02-20,Saint Vincent and the Grenadines,1,3,Martinique,False,False,,CFU Caribbean Cup qualification,1983
1983-03-05,Barbados,1,0,Suriname,False,False,,CFU Caribbean Cup qualification,1983
1983-03-06,Dominica,1,2,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1983
1983-03-08,Barbados,0,0,Suriname,False,False,,CFU Caribbean Cup qualification,1983
1983-04-02,Guadeloupe,2,3,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1983
1983-04-24,Barbados,1,1,Guyana,False,False,,CFU Caribbean Cup qualification,1983
1983-05-08,Antigua and Barbuda,3,3,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1983
1983-05-08,Guyana,2,0,Barbados,False,False,,CFU Caribbean Cup qualification,1983
1983-05-25,Martinique,7,0,Saint Kitts and Nevis,False,False,,CFU Caribbean Cup qualification,1983
1983-05-29,Guyana,0,0,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1983
1983-06-05,Antigua and Barbuda,4,0,Guyana,False,False,,CFU Caribbean Cup qualification,1983
1983-06-05,Saint Kitts and Nevis,0,5,Martinique,False,False,,CFU Caribbean Cup qualification,1983
1985-02-24,Antigua and Barbuda,2,1,Dominica,False,False,,CFU Caribbean Cup qualification,1985
1985-02-24,Saint Vincent and the Grenadines,1,1,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1985
1985-03-03,Antigua and Barbuda,0,1,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1985
1985-03-03,Dominica,2,1,Cayman Islands,False,False,,CFU Caribbean Cup qualification,1985
1985-03-03,Grenada,1,5,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1985
1985-03-10,French Guiana,0,1,Guyana,False,False,,CFU Caribbean Cup qualification,1985
1985-03-17,French Guiana,0,1,Suriname,False,False,,CFU Caribbean Cup qualification,1985
1985-03-24,Guyana,0,1,Suriname,False,False,,CFU Caribbean Cup qualification,1985
1985-03-24,Saint Vincent and the Grenadines,3,0,Grenada,False,False,,CFU Caribbean Cup qualification,1985
1985-04-03,Guadeloupe,1,1,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1985
1985-04-27,Suriname,0,1,Guadeloupe,True,False,,CFU Caribbean Cup qualification,1985
1985-05-05,Trinidad and Tobago,0,1,Suriname,False,False,,CFU Caribbean Cup qualification,1985
1987-11-11,French Guiana,1,1,Suriname,False,False,,CFU Caribbean Cup qualification,1987
1987-11-29,Barbados,0,4,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1987
1987-12-05,Suriname,1,0,French Guiana,False,False,,CFU Caribbean Cup qualification,1987
1987-12-06,Trinidad and Tobago,5,1,Barbados,False,False,,CFU Caribbean Cup qualification,1987
1988-03-06,Dominica,0,0,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1988
1988-03-11,Guadeloupe,0,2,Suriname,False,False,,CFU Caribbean Cup qualification,1988
1988-03-20,Antigua and Barbuda,2,1,Dominica,False,False,,CFU Caribbean Cup qualification,1988
1988-04-19,Guadeloupe,1,1,Suriname,False,False,,CFU Caribbean Cup qualification,1988
1989-04-23,Antigua and Barbuda,1,0,Jamaica,False,False,,CFU Caribbean Cup qualification,1989
1989-04-23,Saint Kitts and Nevis,1,0,French Guiana,False,False,,CFU Caribbean Cup qualification,1989
1989-04-23,Saint Lucia,0,0,Dominica,False,False,,CFU Caribbean Cup qualification,1989
1989-04-23,Trinidad and Tobago,11,0,Aruba,False,False,,CFU Caribbean Cup qualification,1989
1989-04-26,Curaçao,3,1,Martinique,True,False,,CFU Caribbean Cup qualification,1989
1989-05-07,Grenada,2,1,Saint Kitts and Nevis,False,False,,CFU Caribbean Cup qualification,1989
1989-05-07,Jamaica,1,3,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1989
1989-05-07,Sint Maarten,1,2,British Virgin Islands,False,False,,CFU Caribbean Cup qualification,1989
1989-05-10,French Guiana,1,3,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1989
1989-05-13,Dominica,0,1,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1989
1989-05-21,Aruba,0,0,Grenada,False,False,,CFU Caribbean Cup qualification,1989
1989-05-21,Guadeloupe,0,0,Dominica,False,False,,CFU Caribbean Cup qualification,1989
1989-05-21,Martinique,0,0,British Virgin Islands,False,False,,CFU Caribbean Cup qualification,1989
1989-05-21,Saint Kitts and Nevis,0,2,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1989
1989-05-21,Saint Vincent and the Grenadines,3,2,Curaçao,False,False,,CFU Caribbean Cup qualification,1989
1989-06-03,Curaçao,4,0,British Virgin Islands,True,False,,CFU Caribbean Cup qualification,1989
1989-06-04,Dominica,0,0,Jamaica,False,False,,CFU Caribbean Cup qualification,1989
1989-06-06,Grenada,1,0,Trinidad and Tobago,False,False,,CFU Caribbean Cup qualification,1989
1989-06-07,Martinique,10,0,Sint Maarten,False,False,,CFU Caribbean Cup qualification,1989
1989-06-08,French Guiana,4,0,Aruba,False,False,,CFU Caribbean Cup qualification,1989
1989-06-18,Aruba,1,4,Saint Kitts and Nevis,False,False,,CFU Caribbean Cup qualification,1989
1989-06-18,Jamaica,1,1,Saint Lucia,False,False,,CFU Caribbean Cup qualification,1989
1989-06-18,Sint Maarten,1,2,Curaçao,False,False,,CFU Caribbean Cup qualification,1989
1989-06-30,Grenada,0,0,French Guiana,False,False,,CFU Caribbean Cup qualification,1989
1990-03-24,Sint Maarten,1,1,Cayman Islands,True,False,,CFU Caribbean Cup qualification,1990
1990-03-24,Saint Martin,3,0,British Virgin Islands,False,False,,CFU Caribbean Cup qualification,1990
1990-04-14,Bermuda,2,2,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1990
1990-04-15,Barbados,1,0,Saint Lucia,False,False,,CFU Caribbean Cup qualification,1990
1990-04-17,Grenada,1,1,Curaçao,False,False,,CFU Caribbean Cup qualification,1990
1990-04-22,Martinique,4,0,French Guiana,False,False,,CFU Caribbean Cup qualification,1990
1990-04-22,Saint Vincent and the Grenadines,2,1,Dominica,False,False,,CFU Caribbean Cup qualification,1990
1990-04-29,Barbados,1,0,Antigua and Barbuda,False,False,,CFU Caribbean Cup qualification,1990
1990-04-29,Jamaica,3,0,Saint Kitts and Nevis,False,False,,CFU Caribbean Cup qualification,1990
1990-04-29,Suriname,5,0,Guyana,False,False,,CFU Caribbean Cup qualification,1990
1990-05-06,Saint Martin,2,1,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1990
1990-05-13,Dominica,1,1,French Guiana,False,False,,CFU Caribbean Cup qualification,1990
1990-05-13,Saint Lucia,0,2,Bermuda,False,False,,CFU Caribbean Cup qualification,1990
1990-05-15,Grenada,3,1,Suriname,True,False,,CFU Caribbean Cup qualification,1990
1990-05-19,Saint Kitts and Nevis,2,0,Guadeloupe,False,False,,CFU Caribbean Cup qualification,1990
1990-05-20,Guyana,1,1,Curaçao,False,False,,CFU Caribbean Cup qualification,1990
1990-05-20,Jamaica,1,0,Saint Martin,False,False,,CFU Caribbean Cup qualification,1990
1990-05-26,Bermuda,1,1,Barbados,False,False,,CFU Caribbean Cup qualification,1990
