date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1916-07-02,Chile,0,4,Uruguay,True,,,Copa América,1916
1916-07-06,Argentina,6,1,Chile,False,,,Copa América,1916
1916-07-08,Brazil,1,1,Chile,True,,,Copa América,1916
1916-07-10,Argentina,1,1,Brazil,False,,,Copa América,1916
1916-07-12,Brazil,1,2,Uruguay,True,,,Copa América,1916
1916-07-17,Argentina,0,0,Uruguay,False,,,Copa América,1916
1917-09-30,Uruguay,4,0,Chile,False,,,Copa América,1917
1917-10-03,Argentina,4,2,Brazil,True,,,Copa América,1917
1917-10-06,Argentina,1,0,Chile,True,,,Copa América,1917
1917-10-07,Uruguay,4,0,Brazil,False,,,Copa América,1917
1917-10-12,Brazil,5,0,Chile,True,,,Copa América,1917
1917-10-14,Uruguay,1,0,Argentina,False,,,Copa América,1917
1919-05-11,Brazil,6,0,Chile,False,,,Copa América,1919
1919-05-13,Argentina,2,3,Uruguay,True,,,Copa América,1919
1919-05-17,Chile,0,2,Uruguay,True,,,Copa América,1919
1919-05-18,Brazil,3,1,Argentina,False,,,Copa América,1919
1919-05-22,Argentina,4,1,Chile,True,,,Copa América,1919
1919-05-26,Brazil,2,2,Uruguay,False,,,Copa América,1919
1919-05-29,Brazil,1,0,Uruguay,False,,,Copa América,1919
1920-09-11,Chile,0,1,Brazil,False,,,Copa América,1920
1920-09-12,Uruguay,1,1,Argentina,True,,,Copa América,1920
1920-09-18,Brazil,0,6,Uruguay,True,,,Copa América,1920
1920-09-20,Chile,1,1,Argentina,False,,,Copa América,1920
1920-09-25,Argentina,2,0,Brazil,True,,,Copa América,1920
1920-10-03,Chile,1,2,Uruguay,False,,,Copa América,1920
1921-10-02,Argentina,1,0,Brazil,False,,,Copa América,1921
1921-10-09,Paraguay,2,1,Uruguay,True,,,Copa América,1921
1921-10-12,Brazil,3,0,Paraguay,True,,,Copa América,1921
1921-10-16,Argentina,3,0,Paraguay,False,,,Copa América,1921
1921-10-23,Brazil,1,2,Uruguay,True,,,Copa América,1921
1921-10-30,Argentina,1,0,Uruguay,False,,,Copa América,1921
1922-09-17,Brazil,1,1,Chile,False,,,Copa América,1922
1922-09-23,Chile,0,2,Uruguay,True,,,Copa América,1922
1922-09-24,Brazil,1,1,Paraguay,False,,,Copa América,1922
1922-09-28,Argentina,4,0,Chile,True,,,Copa América,1922
1922-10-01,Brazil,0,0,Uruguay,False,,,Copa América,1922
1922-10-05,Chile,0,3,Paraguay,True,,,Copa América,1922
1922-10-08,Argentina,0,1,Uruguay,True,,,Copa América,1922
1922-10-12,Paraguay,1,0,Uruguay,True,,,Copa América,1922
1922-10-15,Brazil,2,0,Argentina,False,,,Copa América,1922
1922-10-18,Argentina,2,0,Paraguay,True,,,Copa América,1922
1922-10-22,Brazil,3,0,Paraguay,False,,,Copa América,1922
1923-10-29,Argentina,4,3,Paraguay,True,,,Copa América,1923
1923-11-04,Uruguay,2,0,Paraguay,False,,,Copa América,1923
1923-11-11,Brazil,0,1,Paraguay,True,,,Copa América,1923
1923-11-18,Argentina,2,1,Brazil,True,,,Copa América,1923
1923-11-25,Uruguay,2,1,Brazil,False,,,Copa América,1923
1923-12-02,Uruguay,2,0,Argentina,False,,,Copa América,1923
1924-10-12,Argentina,0,0,Paraguay,True,,,Copa América,1924
1924-10-19,Uruguay,5,0,Chile,False,,,Copa América,1924
1924-10-25,Argentina,2,0,Chile,True,,,Copa América,1924
1924-10-26,Uruguay,3,1,Paraguay,False,,,Copa América,1924
1924-11-01,Chile,1,3,Paraguay,True,,,Copa América,1924
1924-11-02,Uruguay,0,0,Argentina,False,,,Copa América,1924
1925-11-29,Argentina,2,0,Paraguay,False,,,Copa América,1925
1925-12-06,Brazil,5,2,Paraguay,True,,,Copa América,1925
1925-12-13,Argentina,4,1,Brazil,False,,,Copa América,1925
1925-12-17,Brazil,3,1,Paraguay,True,,,Copa América,1925
1925-12-20,Argentina,3,1,Paraguay,False,,,Copa América,1925
1925-12-25,Argentina,2,2,Brazil,False,,,Copa América,1925
1926-10-12,Chile,7,1,Bolivia,False,,,Copa América,1926
1926-10-16,Argentina,5,0,Bolivia,True,,,Copa América,1926
1926-10-17,Chile,1,3,Uruguay,False,,,Copa América,1926
1926-10-20,Argentina,8,0,Paraguay,True,,,Copa América,1926
1926-10-23,Bolivia,1,6,Paraguay,True,,,Copa América,1926
1926-10-24,Argentina,0,2,Uruguay,True,,,Copa América,1926
1926-10-28,Bolivia,0,6,Uruguay,True,,,Copa América,1926
1926-10-31,Chile,1,1,Argentina,False,,,Copa América,1926
1926-11-01,Paraguay,1,6,Uruguay,True,,,Copa América,1926
1926-11-03,Chile,5,1,Paraguay,False,,,Copa América,1926
1927-10-30,Argentina,7,1,Bolivia,True,,,Copa América,1927
1927-11-01,Peru,0,4,Uruguay,False,,,Copa América,1927
1927-11-06,Bolivia,0,9,Uruguay,True,,,Copa América,1927
1927-11-13,Peru,3,2,Bolivia,False,,,Copa América,1927
1927-11-20,Argentina,3,2,Uruguay,True,,,Copa América,1927
1927-11-27,Peru,1,5,Argentina,False,,,Copa América,1927
1929-11-01,Paraguay,3,0,Uruguay,True,,,Copa América,1929
1929-11-03,Argentina,3,0,Peru,False,,,Copa América,1929
1929-11-10,Argentina,4,1,Paraguay,False,,,Copa América,1929
1929-11-11,Peru,1,4,Uruguay,True,,,Copa América,1929
1929-11-16,Paraguay,5,0,Peru,True,,,Copa América,1929
1929-11-17,Argentina,2,0,Uruguay,False,,,Copa América,1929
1935-01-06,Argentina,4,1,Chile,True,,,Copa América,1935
1935-01-13,Peru,0,1,Uruguay,False,,,Copa América,1935
1935-01-18,Chile,1,2,Uruguay,True,,,Copa América,1935
1935-01-20,Peru,1,4,Argentina,False,,,Copa América,1935
1935-01-26,Peru,1,0,Chile,False,,,Copa América,1935
1935-01-27,Argentina,0,3,Uruguay,True,,,Copa América,1935
1936-12-27,Brazil,3,2,Peru,True,,,Copa América,1936
1936-12-30,Argentina,2,1,Chile,False,,,Copa América,1936
1937-01-02,Paraguay,4,2,Uruguay,True,,,Copa América,1937
1937-01-03,Brazil,6,4,Chile,True,,,Copa América,1937
